SITENO,EAST,NORTH,Comment,distance,No Data (sea or off map),Broadleaved woodland,Coniferous Woodland,Arable and Horticulture,Improved Grassland,Rough Grassland,Neutral Grassland,Calcareous Grassland,Acid Grassland ,"Fen, Marsh and Swamp",Heather,Heather grassland,Bog,Montane Habitats,Inland Rock,Salt water,Freshwater,Supra-littoral Rock,Supra-littoral Sediment,Littoral Rock,Littoral sediment,Saltmarsh,Urban,Suburban,TOTAL COUNT
185,247000,787000, ,1000,0,0,0,0,0,0,0,0,1425,0,69,3454,0,9,67,0,0,0,0,0,0,0,0,0,5024
186,184100,773600, ,1000,0,141,954,29,21,868,0,0,717,0,86,742,0,0,16,0,1450,0,0,0,0,0,0,0,5024
187,248000,119000, ,1000,0,1002,246,1751,1118,335,0,0,170,0,31,0,0,0,0,0,14,0,0,0,0,0,15,342,5024
188,424000,99000, ,1000,0,1815,292,385,1575,889,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,36,5024
189,359000,607000, ,1000,0,509,3104,222,651,125,0,0,287,0,19,107,0,0,0,0,0,0,0,0,0,0,0,0,5024
500,403500,121000, ,1000,0,2626,0,1566,785,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
501,304000,118000, ,1000,0,256,68,666,3928,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5024
988,288600,804100, ,1000,0,204,1039,0,0,0,0,0,50,0,1707,688,169,1167,0,0,0,0,0,0,0,0,0,0,5024
989,365000,780000, ,1000,0,0,0,0,326,0,0,0,598,0,1765,1848,487,0,0,0,0,0,0,0,0,0,0,0,5024
990,262000,354000, ,1000,0,0,0,0,0,0,0,0,2483,0,612,341,2,321,672,0,593,0,0,0,0,0,0,0,5024
991,424000,135000, ,1000,0,111,0,3243,452,30,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5024
992,384000,620000, ,1000,0,54,469,97,1549,39,0,0,2588,0,27,130,0,0,71,0,0,0,0,0,0,0,0,0,5024
993,375200,533200, ,1000,0,0,0,0,0,0,0,0,13,0,85,385,4016,509,0,0,0,0,0,0,0,0,16,0,5024
994,447000,210000, ,1000,0,208,0,375,3006,271,545,0,0,0,0,0,0,0,15,0,506,0,0,0,0,0,51,47,5024
995,266000,98500, ,1000,0,833,0,2036,2119,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5024
996,134989,513366,Off GB LCM2007,1000,5025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5025
997,366000,778000, ,1000,0,659,306,172,1135,528,0,0,507,0,157,1543,0,0,0,0,0,0,0,0,0,0,11,6,5024
998,416300,255400, ,1000,0,330,18,2666,1203,174,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,54,5024
999,480000,140000, ,1000,0,2192,69,961,1712,0,35,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,35,5024
1001,438200,134800, ,1000,0,649,36,3087,66,729,374,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,5024
1002,474200,126800, ,1000,0,2061,0,708,1812,159,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,5024
1204,509700,224400, ,1000,0,276,14,1020,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1768,5024
1205,503300,243400, ,1000,0,453,0,2876,336,48,0,0,0,0,0,0,0,0,605,0,161,0,0,0,0,0,209,336,5024
1207,507300,221500, ,1000,0,445,0,789,176,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1577,2033,5024
1208,500600,220500, ,1000,0,336,0,1438,1818,457,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,3,949,5024
