name,code,country,ISO3V10,latitude,longitude
Oosterlo,,Belgium,BEL,51.1041,4.9793
Essenbeek,,Belgium,BEL,50.7175,4.2568
Oostende,,Belgium,BEL,51.2029,2.9548
Kodijärve,,Estonia,EST,58.213,26.64
Jõhvi,,Estonia,EST,58.511,26.774
Rõhu,,Estonia,EST,58.326,26.519
Lalsi,,Estonia,EST,58.442,26.085
Warton Crag LNR,,England,GBR,54.1476,-2.7762
Lardon Chase,LC,England,GBR,51.524,-1.1553
Aston Upthorpe Downs,AU,England,GBR,51.5496,-1.2154
Moor Copse Nature Reserve,MC,England,GBR,51.4623,-1.0845
Bowdown (Baynes/Bomb Site),B,England,GBR,51.3818,-1.2714
Pamber Forest,PF,England,GBR,51.3448,-1.1184
Crabtree,C,England,GBR,51.2624,-1.0512
Swyncombe Downs,SD,England,GBR,51.6183,-1.0264
Aston Rowant (N),ARN,England,GBR,51.6581,-0.9461
Howbery Park,HP,England,GBR,51.6055,-1.1134
Coombe Hill,CH,England,GBR,51.7526,-0.7744
The Crong,TC,England,GBR,51.7706,-0.6913
Dancersend,D,England,GBR,51.7769,-0.6969
"Little Wittenham, Hill Farm",LW,England,GBR,51.6267,-1.1895
Aston Rowant (S),ARS,England,GBR,51.6582,-0.9605
Wytham Woods,WW,England,GBR,51.7867,-1.32
Himmelried,,Switzerland,CHE,47.4219,7.5884
Lamadelaine,,Luxembourg,LUX,49.5418,5.8712
Rökepipan,,Sweden,SWE,55.6721,13.3611
Vankiva skola,,Sweden,SWE,56.2033,13.7527
"Skaneyland, Everöd",,Sweden,SWE,55.8787,14.0885
Hestehavevej,,Denmark,DNK,56.2946,10.4654
Halle,,Germany,DEU,51.4909,11.9312
Friedeburg,,Germany,DEU,51.6233,11.7271
Greifenhagen,,Germany,DEU,51.6254,11.443
Siptenfelde,,Germany,DEU,51.6497,11.0688
Harsleben,,Germany,DEU,51.8389,11.0597
Santa Susanna,,Spain,ESP,41.739351,2.391898
A,,France,FRA,49.76176,4.811086
B,,France,FRA,49.70309,4.892733
C,,France,FRA,49.4662,5.356841
D,,France,FRA,,
E,,France,FRA,49.18175,5.473395
F,,France,FRA,48.59154,5.465049
G,,France,FRA,,
H,,France,FRA,48.54545,5.267224
I,,France,FRA,,
J,,France,FRA,47.84608,2.808868
K,,France,FRA,47.84508,2.764136
L,,France,FRA,48.39008,2.30753
M,,France,FRA,49.06676,1.601842
N,,France,FRA,49.19873,1.708544
O,,France,FRA,19.22042,1.639558
P,,France,FRA,49.12162,2.076039
Wageningen Campus,,Netherlands,NLD,51.98379, 5.665489
Moerputten,,Netherlands,NLD,51.684782,5.262746
