"siteno.gref","buffer","Surv","POINT_X","POINT_Y","EASTNESS_MEAN","EASTNESS_STD","SLOPE_MEAN","SLOPE_STD","NORTHNESS_MEAN","NORTHNESS_STD","DEM_MEAN","DEM_STD","shannon.soil","dom.soil.type","joint.dom.soil.type","A","BgRo","Br","BW","C","CW","F","G","H","M","S","R","UG","NP_A","NP_BgRo","NP_Br","NP_BW","NP_C","NP_CW","NP_F","NP_G","NP_H","NP_M","NP_S","NP_R","NP_UG","ED_A","ED_BgRo","ED_Br","ED_BW","ED_C","ED_CW","ED_F","ED_G","ED_H","ED_M","ED_S","ED_R","ED_UG","SHP_A","SHP_BgRo","SHP_Br","SHP_BW","SHP_C","SHP_CW","SHP_F","SHP_G","SHP_H","SHP_M","SHP_S","SHP_R","SHP_UG","end.lcm","LC","LM","NG","UDG","NP_LC","SHP_LC","ED_LC","NP_LM","SHP_LM","ED_LM","NP_UDG","SHP_UDG","ED_UDG","NP_NG","SHP_NG","ED_NG","LCper"
"1024",10000,"UKBMS",461500,161000,0.19,0.65,1.84,1.72,0.12,0.73,87.30924219,29.8700438,1.43951861550575,25,NA,116281875,4961875,0,49423125,0,8145625,316250,95099375,367500,0,0,1074375,38487500,422,129,0,536,0,101,13,552,8,0,0,19,413,139.758,568.6942,0,152.7077,0,490.0742,1831.3332,115.2864,1464.1936,0,0,987.3567,229.3501,1.5933,1.3314,0,1.6918,0,1.4601,1.3904,1.6876,1.5462,0,0,1.3927,1.48,NA,16875,835000,314157500,25000,2,1.6944,1300,37,1.5569,486.1619,3,1.1778,7386.8133,0,0,0,2.14859173174059
"1024",2000,"UKBMS",461500,161000,0.24,0.56,1.46,1.08,-0.06,0.79,85.27865839,10.12589682,0.693147180559945,5,18,1643125,236250,0,3549375,0,323750,151875,3346250,30625,0,0,0,3286250,25,5,0,20,0,10,4,40,1,0,0,0,26,226.637,954.0578,0,159.1837,0,325.7807,1219.7728,98.6637,0,0,0,0,160.6342,1.4455,1.2621,0,1.7574,0,1.3043,1.5043,1.4798,1.4286,0,0,0,1.5274,NA,0,104375,12567500,0,1,1.1268,0,5,1.3131,220.9691,0,0,0,0,0,0,0
"1024",500,"UKBMS",461500,161000,0.5,0.33,1.27,0.9,-0.24,0.77,87.30924219,29.8700438,0,18,NA,0,0,0,653125,0,35625,13125,39375,0,0,0,0,48750,0,0,0,3,0,2,1,2,0,0,0,0,2,0,0,0,75,0,707.1068,0,728.869,0,0,0,0,254.951,0,0,0,1.2781,0,1.2607,1.3,1.2813,0,0,0,0,1.4824,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0
"1024",5000,"UKBMS",461500,161000,0.16,0.65,1.52,1.3,0.06,0.74,85.10664261,13.88141338,0.847611613153458,25,NA,20693750,1594375,0,17851250,0,3705625,210000,22236875,209375,0,0,70625,11975625,151,32,0,139,0,50,7,169,4,0,0,5,132,148.1463,518.1566,0,131.4234,0,408.9934,1480.2837,111.1891,927.4679,0,0,2479.8303,187.4918,1.5346,1.3855,0,1.7653,0,1.449,1.4844,1.6176,1.5637,0,0,1.1419,1.5308,NA,0,167500,78547500,0,1,1.1268,0,14,1.4319,309.7561,0,0,0,0,0,0,0
"1050",10000,"UKBMS",466300,151900,0.09,0.7,1.93,1.53,0.19,0.69,110.8752611,40.92153676,0.910160157702505,1,NA,120764375,4946250,0,47112500,0,3704375,94375,92497500,315000,0,0,127500,44595625,337,126,0,481,0,82,6,543,15,0,0,4,318,134.5117,475.1062,0,178.8329,0,585.9227,3774.1705,119.2824,852.2323,0,0,5574.6683,239.6726,1.6773,1.347,0,1.6506,0,1.3723,1.3071,1.6847,1.2979,0,0,1.3919,1.5483,NA,67500,771250,314157500,31875,11,1.4874,1272.8033,40,1.429,407.9438,2,2.3472,3178.2464,0,0,0,8.59436692696235
"1050",2000,"UKBMS",466300,151900,0.14,0.72,1.82,1.18,0.24,0.64,90.15453416,11.75539658,0.271380478053271,1,NA,2210000,247500,0,1178125,0,0,0,5368750,0,0,0,0,3563125,25,4,0,18,0,0,0,26,0,0,0,0,11,166.6643,542.9783,0,241.0583,0,0,0,78.7049,0,0,0,0,236.2641,1.591,1.3563,0,1.6145,0,0,0,1.7689,0,0,0,0,1.7685,NA,0,20625,12567500,0,1,1.1268,0,7,1.1952,101.1591,0,0,0,0,0,0,0
"1050",500,"UKBMS",466300,151900,0.05,0.74,1.59,0.89,0.46,0.5,110.8752611,40.92153676,0,1,NA,140000,35000,0,158750,0,0,0,352500,0,0,0,0,103750,3,2,0,2,0,0,0,4,0,0,0,0,2,108.4678,357.9455,0,230.4886,0,0,0,137.5,0,0,0,0,55.9017,1.6488,1.3056,0,1.531,0,0,0,1.4314,0,0,0,0,1.4167,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0
"1050",5000,"UKBMS",466300,151900,0.15,0.67,1.96,1.41,0.3,0.66,99.84369475,26.30560022,0.697611092521271,1,NA,22268125,890000,0,8997500,0,669375,32500,26856250,13750,0,0,7500,18812500,110,29,0,121,0,10,2,162,1,0,0,1,66,142.5183,603.4018,0,197.9844,0,1186.8428,2307.7316,113.3041,0,0,0,0,209.5643,1.5984,1.2861,0,1.6304,0,1.4528,1.2455,1.6142,1.1,0,0,1,1.5999,NA,23750,145625,78547500,0,6,1.3935,204.9111,14,1.302,409.8604,0,0,0,0,0,0,3.02394391874601
"1111",10000,"UKBMS",349400,472700,-0.15,0.73,4.38,5.75,0.01,0.67,56.38111347,49.01690809,1.84373717241746,4,NA,20524375,2618750,2999375,28883750,79850000,2801250,0,143942500,360000,0,6561875,1032500,21246250,341,71,50,462,7,75,0,145,20,0,24,28,283,228.8826,519.809,459.5376,169.2952,93.5503,595.7557,0,104.9662,689.5265,0,393.5455,604.8617,235.4325,1.4529,1.4082,1.406,1.5493,2.2044,1.4248,0,1.7409,1.4018,0,1.7196,1.4237,1.5787,NA,5069375,1552500,314157500,264375,104,1.3783,218.3227,55,1.3981,313.1647,16,1.2752,360.7159,0,0,0,645.452871709182
"1111",2000,"UKBMS",349400,472700,-0.09,0.72,4.28,6.15,-0.09,0.69,38.35484598,36.83115189,1.16908037170168,4,NA,1028750,59375,66250,2893125,730625,323750,0,5987500,0,0,96875,97500,1283750,11,3,2,20,7,3,0,23,0,0,3,1,24,424.9251,1203.3487,176.7767,135.6609,96.5936,1117.4126,0,77.6876,0,0,85.3553,0,197.5346,1.5288,1.4491,1.3304,1.7157,1.8518,2.283,0,1.9334,0,0,1.2926,1.72,1.4777,NA,282500,24375,12567500,0,2,1.1621,325,2,2.0385,55.9017,0,0,0,0,0,0,35.9690171387684
